member_no,ffp_date,load_time,flight_count,sum_yr_1,sum_yr_2,seg_km_sum,last_to_end,avg_discount
47114,2005/1/15,2014/3/31,74,101398,83139,148685,11,1.433364428
54619,2006/1/7,2014/3/31,101,94055,107896,159129,18,1.33816985
12349,2008/6/16,2014/3/31,87,83780,102594,149254,11,1.424714581
35883,2006/4/11,2014/3/31,53,96945,69814,144076,2,1.469224298
56091,2004/11/25,2014/3/31,95,134702,60366,149053,8,1.414895104
2137,2005/4/11,2014/3/31,131,86875,89532,220948,16,0.944884271
27708,2006/3/20,2014/3/31,95,96692,75484,148227,3,1.398640194
28014,2006/12/1,2014/3/31,47,63100,69298,285144,3,0.725685618
3539,2009/10/13,2014/3/31,25,115502,48696,220389,108,0.937899941
56149,2005/2/13,2014/3/31,24,138960,32385,189813,34,1.087220053
44936,2006/3/30,2014/3/31,54,101235,70902,141012,125,1.462104927
62751,2007/5/8,2014/3/31,166,71418,112597,229303,1,0.890172305
40066,2009/2/27,2014/3/31,81,107153,75102,140819,34,1.429179443
18793,2006/4/25,2014/3/31,98,88788,85119,137876,2,1.458541443
13963,2011/1/18,2014/3/31,35,146039,119384,201141,3,0.998554546
46084,2007/1/4,2014/3/31,95,91729,89721,140803,3,1.396985007
58798,2010/5/4,2014/3/31,46,53523,50287,256766,13,0.764737193
56089,2004/12/4,2014/3/31,54,99145,84348,160825,38,1.20853437
58693,2010/12/11,2014/3/31,21,54900,63000,185493,22,1.029507529
28780,2012/7/13,2014/3/31,110,75354,103498,187588,1,1.015978367
27836,2006/7/16,2014/3/31,134,106902,72650,140356,7,1.356053179
38073,2005/1/26,2014/3/31,107,81623,80541,135811,2,1.398992423
22629,2010/7/15,2014/3/31,70,181233,27525,219282,304,0.863479447
12326,2008/5/21,2014/3/31,189,74201,104344,235687,1,0.802633323
24222,2012/1/8,2014/3/31,87,80624,91862,132283,4,1.425177007
916,2006/11/18,2014/3/31,29,59672,56764,211369,11,0.888869986
45008,2007/12/10,2014/3/31,48,45881,92675,130135,1,1.408197795
11523,2007/7/6,2014/3/31,68,62056,93021,135374,1,1.349375212
56088,2004/12/3,2014/3/31,111,67261,62413,216560,4,0.828452854
56573,2007/11/26,2014/3/31,69,65014,91429,131660,22,1.354943567
38883,2008/2/2,2014/3/31,126,83906,87043,204371,4,0.867522349
38035,2004/12/28,2014/3/31,55,53027,86719,153868,15,1.146000598
11034,2005/1/26,2014/3/31,76,53644,85537,214921,21,0.819187329
47143,2005/2/17,2014/3/31,68,78610,74530,127335,15,1.380410335
29033,2004/11/19,2014/3/31,77,60120,91155,136121,1,1.288018381
16812,2010/6/9,2014/3/31,84,69796,118928,186821,6,0.938031056
5241,2011/5/14,2014/3/31,96,78243,65025,204612,14,0.848239546
49208,2010/5/28,2014/3/31,30,41590,81104,164001,8,1.057257212
38241,2005/8/13,2014/3/31,85,101471,66947,121097,19,1.426106262
38456,2007/11/15,2014/3/31,32,77606,63733,182563,88,0.944650121
44377,2010/7/10,2014/3/31,34,69213,49135,170121,19,1.013669976
49737,2010/10/30,2014/3/31,197,113295,41200,275800,1,0.620507614
47919,2008/12/14,2014/3/31,30,80383,91978,184194,7,0.928504294
23528,2012/8/15,2014/3/31,18,19100,46215,209911,62,0.811871079
58088,2009/10/19,2014/3/31,64,50385,115130,137636,19,1.236256939
51079,2011/12/21,2014/3/31,149,21251,45091,219108,4,0.774487057
19420,2007/11/18,2014/3/31,61,36108,90487,143186,13,1.183962818
58753,2010/10/13,2014/3/31,36,34341,54825,209839,36,0.806177069
13517,2010/8/14,2014/3/31,22,24615,105814,170406,22,0.992454374
56048,2013/3/15,2014/3/31,23,18062,89648,169224,29,0.995539285
50434,2011/6/9,2014/3/31,16,37800,54093,163191,18,1.019520072
13869,2010/10/26,2014/3/31,102,79538,108837,140220,8,1.179368992
47432,2005/10/21,2014/3/31,81,90030,51276,159255,6,1.034587737
60658,2012/6/29,2014/3/31,30,23000,61855,208687,6,0.782406571
9744,2006/7/13,2014/3/31,127,64222,95061,170611,12,0.956332827
18111,2008/9/19,2014/3/31,56,44503,78197,116728,2,1.394863786
42444,2012/4/25,2014/3/31,79,77755,107694,208797,1,0.777341772
11055,2005/2/17,2014/3/31,97,55464,88679,155881,9,1.036667137
47107,2004/11/18,2014/3/31,158,73605,72492,205159,2,0.784701427
62880,2006/5/8,2014/3/31,64,33780,66940,115300,7,1.391299306
49441,2010/7/3,2014/3/31,51,65145,51533,137500,13,1.165835855
20569,2007/6/28,2014/3/31,29,52395,48737,157056,144,1.017859044
47687,2007/10/5,2014/3/31,69,71749,70946,114077,1,1.387490292
37305,2008/6/13,2014/3/31,88,37667,109401,122619,15,1.281481989
58189,2011/1/31,2014/3/31,42,23150,65152,162453,15,0.966069448
25857,2007/1/26,2014/3/31,129,85135,71385,109813,10,1.429138536
951,2006/11/28,2014/3/31,67,71181,71769,123464,14,1.265322199
4178,2010/4/13,2014/3/31,12,12500,110100,146784,53,1.059166667
2010,2004/11/26,2014/3/31,100,64331,72891,162250,4,0.952273652
38290,2005/9/23,2014/3/31,69,78724,56434,118726,11,1.297050351
57622,2011/4/14,2014/3/31,17,188926,174895,125349,34,1.226505277
2001,2004/11/11,2014/3/31,12,75100,53500,146784,9,1.046666667
60311,2012/4/27,2014/3/31,54,101923,71157,144562,4,1.053910364
36030,2008/7/28,2014/3/31,79,74245,66353,123985,21,1.228445376
35766,2008/9/8,2014/3/31,87,69765,69062,105119,5,1.445489778
33319,2012/4/28,2014/3/31,53,76881,51012,144682,17,1.046215562
55096,2007/1/3,2014/3/31,92,73350,66291,134823,17,1.118316089
30681,2010/5/26,2014/3/31,48,96104,95788,150537,11,1.001144569
17837,2005/10/22,2014/3/31,90,68430,68978,108184,3,1.390945611
3872,2009/1/18,2014/3/31,56,59951,66704,104663,9,1.435274261
56201,2005/4/5,2014/3/31,146,71300,68443,191328,4,0.783239829
4468,2011/9/14,2014/3/31,35,53356,39002,167150,15,0.894261083
32602,2011/10/9,2014/3/31,33,72497,5665,174046,63,0.85318887
11277,2005/8/26,2014/3/31,142,54428,80511,177357,7,0.835532119
45117,2010/11/17,2014/3/31,31,23421,32296,204438,44,0.723434195
19051,2006/11/28,2014/3/31,53,70090,56015,102999,29,1.434114409
19371,2007/5/31,2014/3/31,21,69100,55700,159605,14,0.925114251
60020,2012/6/7,2014/3/31,16,20140,30850,195712,27,0.75375
2007,2004/11/25,2014/3/31,85,58008,71227,155704,3,0.946174922
56093,2004/11/24,2014/3/31,71,64754,70510,119961,22,1.225504039
62762,2008/8/23,2014/3/31,130,32720,50685,167593,2,0.873661907
49215,2010/5/7,2014/3/31,89,43042,79130,149557,4,0.978068228
20362,2005/7/29,2014/3/31,83,53260,82972,103087,11,1.411593411
38022,2004/12/2,2014/3/31,99,52996,69050,162215,2,0.896966187
47179,2005/3/16,2014/3/31,40,33993,35519,198627,27,0.731685018
17903,2008/5/30,2014/3/31,52,67215,58621,99524,11,1.458000784
45581,2005/12/29,2014/3/31,65,73784,70564,119794,10,1.210876087
47255,2005/4/23,2014/3/31,34,83009,71460,151642,3,0.951756044
876,2006/8/14,2014/3/31,83,45490,79527,149993,6,0.960765569
6088,2011/11/14,2014/3/31,65,62763,81624,109089,24,1.318943707
50931,2012/12/20,2014/3/31,18,7444,70223,146238,23,0.982511386
38443,2007/6/8,2014/3/31,66,58495,72152,102689,4,1.39722054
8850,2006/4/17,2014/3/31,52,28768,75154,105167,2,1.356986792
59307,2011/3/15,2014/3/31,27,60310,25559,182561,38,0.780547269
20121,2004/11/30,2014/3/31,193,93532,60040,209912,1,0.675609779
53451,2012/6/26,2014/3/31,65,0,119684,184730,6,0.764
59669,2012/4/11,2014/3/31,14,45675,23100,144708,59,0.97367319
49369,2009/10/19,2014/3/31,24,26870,31155,213058,11,0.658633893
52814,2010/10/9,2014/3/31,89,37259,72426,177556,17,0.787337009
57377,2008/6/20,2014/3/31,57,55150,69155,98104,8,1.42497258
31219,2009/11/13,2014/3/31,101,3126,15735,140188,12,0.996902945
29392,2013/3/3,2014/3/31,19,25220,84795,155552,16,0.897522308
12578,2006/6/29,2014/3/31,95,73267,46603,140931,24,0.988949912
19439,2008/4/1,2014/3/31,85,75444,64034,97855,7,1.423453171
29034,2004/11/24,2014/3/31,108,67505,57435,169746,22,0.817685954
2012,2004/11/26,2014/3/31,64,48767,70429,97250,4,1.426656247
47194,2005/4/2,2014/3/31,113,46357,73029,204853,3,0.674381581
26406,2009/8/27,2014/3/31,31,46725,59667,95766,1,1.438600025
56437,2005/11/16,2014/3/31,79,59892,61960,129119,5,1.065611103
59509,2012/5/2,2014/3/31,109,55140,57589,163010,17,0.843554751
13061,2009/3/29,2014/3/31,19,24550,22100,201613,18,0.681331859
12155,2009/6/4,2014/3/31,120,60467,67083,172352,25,0.790287551
26960,2006/4/15,2014/3/31,45,42126,65876,116917,1,1.154155854
1123,2007/5/8,2014/3/31,19,57507,28210,136374,135,0.988910129
12536,2010/5/27,2014/3/31,22,48796,23824,135717,184,0.993493225
43627,2009/12/27,2014/3/31,80,56260,64169,105118,15,1.277942503
37021,2006/12/25,2014/3/31,82,57227,71221,106666,6,1.255920537
40792,2010/8/8,2014/3/31,90,66245,49045,179472,12,0.744693267
22418,2010/8/6,2014/3/31,17,36244,34500,143287,157,0.931991388
27900,2006/9/15,2014/3/31,39,103340,26441,97116,9,1.374724556
21245,2008/5/5,2014/3/31,102,59208,69487,102961,11,1.295748779
2006,2004/11/24,2014/3/31,90,64227,50884,158149,11,0.843185667
11028,2005/1/22,2014/3/31,125,56590,66832,176585,7,0.75433474
62642,2007/2/7,2014/3/31,77,32440,43183,94142,23,1.414713624
29051,2004/12/7,2014/3/31,79,70462,39777,157844,6,0.843179595
19073,2006/11/9,2014/3/31,116,59962,65443,165365,13,0.802227557
58686,2011/1/19,2014/3/31,58,65453,55873,91515,15,1.448642081
781,2006/7/23,2014/3/31,109,55657,76163,144321,8,0.914492693
36780,2006/7/10,2014/3/31,180,66455,62607,182540,9,0.720028487
1359,2010/1/13,2014/3/31,103,45754,86859,218087,1,0.602317149
29076,2005/1/19,2014/3/31,107,78200,54540,155834,8,0.841613512
49714,2011/3/30,2014/3/31,14,33444,46100,125796,121,1.040394289
55458,2010/2/12,2014/3/31,149,64079,60697,155588,2,0.836742487
59905,2011/9/13,2014/3/31,76,86103,37023,94185,49,1.380177417
28087,2007/2/10,2014/3/31,55,64899,50346,94577,3,1.369523774
14825,2011/9/21,2014/3/31,80,61032,61240,92022,4,1.407186108
20173,2005/1/23,2014/3/31,40,38782,60402,139742,16,0.926317142
18700,2006/1/15,2014/3/31,142,60942,57023,183472,7,0.702883928
47040,2013/3/16,2014/3/31,14,0,69575,126850,23,1.016463224
5040,2011/2/25,2014/3/31,24,36000,98882,125340,30,1.026238631
19751,2011/5/12,2014/3/31,13,25200,43093,126495,18,1.014545871
9980,2006/12/6,2014/3/31,85,41949,71795,151736,2,0.843447435
38079,2005/3/2,2014/3/31,68,50278,62111,117537,3,1.085817147
38098,2005/3/31,2014/3/31,116,68978,50566,161730,8,0.786706177
33282,2012/4/9,2014/3/31,123,55346,61475,89350,2,1.419099832
53999,2007/4/4,2014/3/31,47,36960,66252,91018,17,1.389867279
58806,2010/8/8,2014/3/31,14,46500,36508,123662,95,1.022610665
18869,2006/6/20,2014/3/31,49,77457,29982,90602,107,1.394936204
47265,2005/5/27,2014/3/31,86,49221,62139,157799,2,0.799002655
29997,2008/2/18,2014/3/31,60,61135,48154,106278,11,1.182681834
56325,2005/7/24,2014/3/31,110,54659,51757,166843,4,0.750906841
13606,2010/8/10,2014/3/31,15,34040,10000,183480,179,0.681333333
2104,2005/3/20,2014/3/31,67,44102,66668,119347,2,1.046676247
40556,2010/2/13,2014/3/31,51,22197,85044,99034,1,1.259950118
11511,2010/5/17,2014/3/31,74,72537,52991,96520,69,1.289827497
49752,2010/9/18,2014/3/31,12,38600,76000,121632,27,1.023333333
58064,2009/11/1,2014/3/31,59,61605,53815,85171,6,1.461263576
19497,2009/8/27,2014/3/31,120,48496,65628,176951,18,0.701123814
21578,2008/9/2,2014/3/31,60,36815,75011,88428,3,1.40060309
45772,2006/6/5,2014/3/31,57,14001,94940,90553,1,1.366744227
51134,2011/12/18,2014/3/31,43,31354,31157,195034,57,0.631640227
53729,2008/4/20,2014/3/31,113,51668,50096,151060,2,0.81511929
44980,2005/5/1,2014/3/31,42,38043,36239,165589,23,0.743348652
11139,2005/4/27,2014/3/31,58,65404,43909,94554,16,1.299097235
11327,2005/10/12,2014/3/31,16,14570,30724,184227,30,0.66544855
20131,2004/11/23,2014/3/31,122,51136,58852,180074,18,0.68017726
47276,2005/5/29,2014/3/31,72,54023,67485,91164,6,1.343311285
13323,2009/11/13,2014/3/31,113,68079,46264,121394,10,1.008554047
56336,2005/8/2,2014/3/31,77,60762,70974,157206,2,0.777235347
19460,2008/12/13,2014/3/31,57,58523,48966,91658,10,1.332451177
15014,2012/1/4,2014/3/31,16,43784,67714,115401,13,1.057235119
21884,2009/5/8,2014/3/31,77,37478,64613,151637,9,0.803643702
11030,2005/1/20,2014/3/31,88,44502,71749,117157,3,1.039534044
10164,2007/5/27,2014/3/31,13,42838,11600,137604,51,0.884236795
2196,2005/5/20,2014/3/31,124,73591,59304,113615,3,1.070194781
38329,2005/11/17,2014/3/31,69,73753,53646,147549,31,0.823818121
3092,2008/2/26,2014/3/31,66,77458,33221,86430,1,1.406350341
31122,2010/12/1,2014/3/31,26,40335,16513,178921,102,0.679305671
44276,2009/8/1,2014/3/31,59,49710,54318,94946,4,1.273062688
38451,2007/6/4,2014/3/31,125,46644,62647,189177,1,0.637994577
30926,2009/3/14,2014/3/31,97,63195,45658,171544,11,0.701652637
36573,2006/1/25,2014/3/31,57,41320,48785,144505,3,0.832500467
17463,2011/1/4,2014/3/31,64,5546,70813,262290,5,0.457967364
20144,2004/12/24,2014/3/31,49,92685,26580,88903,114,1.350911443
20731,2007/9/17,2014/3/31,58,54969,56945,84353,2,1.423312271
2129,2005/4/6,2014/3/31,136,38680,74796,145540,5,0.82433441
53365,2010/12/17,2014/3/31,68,61293,64004,148879,4,0.804845344
3018,2008/2/11,2014/3/31,71,23960,76876,180226,4,0.664729007
36912,2006/11/1,2014/3/31,116,75228,43633,130636,16,0.916310894
1159,2007/5/28,2014/3/31,110,26253,80618,172640,1,0.693026819
39380,2008/7/21,2014/3/31,105,49777,58424,145253,12,0.823284201
12218,2009/3/3,2014/3/31,52,54805,44845,83356,21,1.433468257
38199,2005/6/16,2014/3/31,106,54530,53778,167199,3,0.714441235
38134,2005/4/17,2014/3/31,11,38230,62400,112128,178,1.065035317
49346,2010/4/28,2014/3/31,59,57355,49840,92635,13,1.283990608
46325,2007/11/29,2014/3/31,59,70753,77979,145433,18,0.817583423
27661,2006/1/16,2014/3/31,83,47779,68487,94441,26,1.254728561
39773,2012/5/8,2014/3/31,10,44800,10100,122320,317,0.966
3321,2008/8/31,2014/3/31,116,42968,52423,136228,1,0.866121649
47224,2005/4/19,2014/3/31,95,61926,44536,138873,2,0.849043083
14675,2011/8/20,2014/3/31,79,15407,53317,151183,6,0.778897164
36635,2006/3/28,2014/3/31,76,43518,53765,86061,7,1.367977249
20685,2007/7/14,2014/3/31,100,50031,61963,91727,1,1.282347182
20116,2004/11/20,2014/3/31,107,47679,60227,165304,1,0.710868219
27657,2006/2/2,2014/3/31,25,90608,25884,109336,290,1.074683178
30225,2008/6/1,2014/3/31,114,55786,53754,151625,13,0.774562836
39847,2010/3/10,2014/3/31,57,31304,67412,84080,9,1.394920314
19134,2007/1/9,2014/3/31,76,49105,55463,119514,22,0.98076627
30983,2012/10/17,2014/3/31,11,72000,87000,111496,99,1.05
53954,2006/4/11,2014/3/31,43,34450,60215,94144,30,1.240551283
13680,2011/2/22,2014/3/31,20,26930,38233,148827,22,0.784519543
56497,2007/6/17,2014/3/31,53,30884,70845,85000,32,1.373478
20401,2005/9/9,2014/3/31,56,52249,54987,82981,4,1.403768453
23819,2011/9/28,2014/3/31,84,4328,23107,140535,2,0.827823318
3110,2008/3/15,2014/3/31,111,43198,73391,141864,6,0.819703519
23531,2011/5/30,2014/3/31,109,74297,48668,126167,18,0.921339098
27678,2006/3/2,2014/3/31,60,50783,39363,98083,5,1.175007596
4581,2010/7/25,2014/3/31,61,48752,36575,161499,3,0.713012031
3339,2008/8/28,2014/3/31,43,29030,71658,93447,9,1.231469603
36953,2006/12/7,2014/3/31,149,49861,61985,157683,5,0.724336929
44217,2010/10/20,2014/3/31,43,18526,74971,111807,4,1.020765158
13818,2010/4/25,2014/3/31,56,80163,38616,114358,83,0.995827664
8608,2005/11/15,2014/3/31,94,47363,53498,109142,3,1.040933738
2303,2005/8/30,2014/3/31,84,57470,44323,139338,13,0.811427392
33645,2012/7/20,2014/3/31,16,12600,58538,107047,9,1.051401627
27651,2006/1/24,2014/3/31,128,50066,50854,131315,17,0.856878118
9874,2006/10/26,2014/3/31,124,40842,40771,130776,2,0.860026534
50023,2011/1/28,2014/3/31,111,59392,48767,130622,4,0.859196613
40219,2009/7/9,2014/3/31,77,42580,57090,134838,1,0.832180765
35876,2006/4/2,2014/3/31,42,31875,31242,77936,22,1.436042137
58293,2009/11/2,2014/3/31,124,41832,64452,160524,1,0.695089955
5737,2011/7/25,2014/3/31,19,70286,62006,96503,6,1.156085303
39208,2010/8/28,2014/3/31,53,105558,50750,134627,45,0.828407972
13798,2011/6/1,2014/3/31,61,34988,53234,83245,1,1.337276713
58411,2009/12/12,2014/3/31,17,30570,89477,105377,1,1.056396083
13846,2011/8/28,2014/3/31,48,70248,98233,119036,4,0.934725209
27945,2006/10/13,2014/3/31,26,19055,83018,94249,22,1.178456641
54719,2006/3/11,2014/3/31,43,51220,45960,79426,31,1.395587087
4234,2009/8/7,2014/3/31,87,48404,52189,115134,61,0.962306964
13056,2010/5/22,2014/3/31,114,41316,61096,124499,1,0.889901525
38816,2010/2/19,2014/3/31,54,19260,49351,75651,20,1.462917873
22490,2009/12/9,2014/3/31,68,60323,32647,163454,20,0.676618926
47762,2007/9/28,2014/3/31,112,59906,38596,134757,6,0.82046172
30223,2008/10/12,2014/3/31,73,37975,30151,163958,13,0.673120738
35584,2007/6/12,2014/3/31,49,31965,66444,80641,38,1.368281891
4835,2012/8/22,2014/3/31,40,45368,87535,127004,2,0.868515165
38084,2005/3/16,2014/3/31,82,36622,61778,135413,5,0.81353969
49017,2009/1/17,2014/3/31,154,45721,51975,129582,1,0.848141331
29375,2005/11/17,2014/3/31,58,24167,53845,145294,13,0.755701956
46350,2008/8/12,2014/3/31,52,49712,49210,97731,2,1.120337764
58999,2010/11/10,2014/3/31,43,34940,62864,78765,8,1.388142957
1294,2009/2/9,2014/3/31,105,47407,58699,138593,4,0.788873392
728,2006/1/10,2014/3/31,97,44371,55847,116461,4,0.93836632
55509,2010/6/9,2014/3/31,17,44362,13970,121870,112,0.896000164
49453,2010/2/26,2014/3/31,32,40430,50658,77106,59,1.416159832
31394,2010/5/31,2014/3/31,37,27428,49234,119320,5,0.914270784
35877,2006/3/31,2014/3/31,86,39027,31496,159612,5,0.682643911
59627,2012/3/17,2014/3/31,62,41195,50309,139995,13,0.778110575
23026,2010/12/16,2014/3/31,67,31267,60138,127081,11,0.856602875
9716,2006/6/29,2014/3/31,84,66828,36106,129836,8,0.837625235
21656,2009/1/15,2014/3/31,117,41699,47384,132853,8,0.816301476
4004,2009/6/10,2014/3/31,122,14624,33099,129272,2,0.837572715
18838,2006/5/4,2014/3/31,87,50996,47262,131029,24,0.82610529
35464,2009/1/20,2014/3/31,73,47665,37695,75413,2,1.434756209
8434,2005/9/9,2014/3/31,97,28621,43362,113939,8,0.949395993
4446,2010/2/23,2014/3/31,93,37117,57675,150612,5,0.7180637
54,2010/2/23,2014/3/31,83,47411,48809,134621,8,0.801739699
49682,2010/9/15,2014/3/31,105,44102,60589,145865,11,0.737595174
38902,2007/12/28,2014/3/31,27,19156,20112,164336,56,0.654476682
18679,2005/12/21,2014/3/31,24,26478,46096,110964,31,0.968107765
18811,2006/4/6,2014/3/31,137,42196,65102,122439,2,0.874927107
42861,2012/9/2,2014/3/31,57,31607,66773,90144,22,1.187537496
22286,2009/12/5,2014/3/31,50,51665,42669,89115,7,1.201031476
23172,2011/5/27,2014/3/31,45,52963,39787,139898,8,0.765013009
23537,2011/10/17,2014/3/31,109,39912,42311,122024,1,0.877036239
12880,2009/12/15,2014/3/31,46,39174,52936,80830,18,1.32374168
28325,2008/7/22,2014/3/31,77,33898,57743,139876,17,0.763144213
857,2006/10/1,2014/3/31,60,37442,40801,154736,5,0.689844509
14124,2012/6/12,2014/3/31,66,33386,69207,151383,6,0.705022823
55273,2007/4/3,2014/3/31,77,40464,53056,144030,4,0.74088551
26641,2006/3/4,2014/3/31,77,51690,46104,80208,16,1.325833583
62340,2010/10/21,2014/3/31,28,29878,53430,77108,13,1.378992322
59295,2011/5/8,2014/3/31,34,19661,36215,143761,113,0.739229694
20660,2007/6/11,2014/3/31,62,35596,47825,141413,9,0.751386294
55480,2010/4/30,2014/3/31,53,34624,59271,73717,34,1.440717609
59920,2011/9/18,2014/3/31,37,42810,47853,72741,4,1.459011837
1069,2007/2/10,2014/3/31,94,60023,40236,126174,65,0.839762709
54078,2007/6/21,2014/3/31,48,31580,65783,74411,10,1.423607397
40506,2010/7/28,2014/3/31,52,51894,46911,73647,5,1.430674841
13936,2011/5/11,2014/3/31,52,49124,64055,135689,1,0.776371777
35484,2005/11/2,2014/3/31,59,47635,29538,127314,33,0.827179729
35960,2008/2/26,2014/3/31,72,37631,33139,149171,9,0.705943112
12353,2008/5/19,2014/3/31,47,54943,38925,76753,13,1.37078264
20117,2004/11/23,2014/3/31,107,76142,18622,169750,9,0.619739087
26045,2011/7/11,2014/3/31,96,17453,19313,136246,23,0.771855467
28722,2012/4/18,2014/3/31,132,63903,45649,151273,5,0.694012613
5039,2011/1/19,2014/3/31,168,55550,56052,130985,2,0.800659159
23074,2011/12/5,2014/3/31,49,71197,62204,125237,17,0.837061811
47095,2004/12/2,2014/3/31,12,45211,21663,103960,136,1.00799115
9901,2006/12/6,2014/3/31,36,67896,41913,109695,13,0.954319431
28035,2006/4/23,2014/3/31,21,22610,24889,137610,77,0.760666667
48251,2009/1/17,2014/3/31,60,63520,44980,137654,24,0.760252081
20119,2004/11/26,2014/3/31,84,46317,49534,117382,33,0.8915401
62776,2006/4/3,2014/3/31,59,24776,69531,97219,7,1.075326325
9635,2006/4/16,2014/3/31,118,42743,56410,139566,1,0.746258043
30360,2008/8/20,2014/3/31,49,58598,36946,78417,27,1.327684941
60904,2012/8/28,2014/3/31,74,11024,33906,113789,4,0.91433425
15271,2011/12/10,2014/3/31,64,40954,43036,139827,7,0.744006522
35677,2007/8/8,2014/3/31,47,47345,37692,71121,19,1.461826465
55032,2006/11/8,2014/3/31,46,43725,47450,71012,1,1.462023883
8631,2007/5/29,2014/3/31,115,36691,54489,115562,7,0.8967864
44368,2010/10/2,2014/3/31,28,18150,68339,72232,13,1.434513512
13156,2010/6/25,2014/3/31,12,59690,5850,100421,351,1.029644795
17660,2006/7/23,2014/3/31,65,64866,9477,93221,8,1.107523948
13485,2009/12/12,2014/3/31,24,32740,27950,183418,66,0.562442563
12275,2008/8/8,2014/3/31,50,22503,61558,135574,4,0.760115583
19306,2007/4/25,2014/3/31,98,40583,50646,141053,5,0.728867305
29309,2005/9/4,2014/3/31,46,20760,66177,73338,1,1.398998609
13084,2009/6/17,2014/3/31,61,31319,55919,114031,17,0.899280547
24151,2011/11/10,2014/3/31,28,50685,45803,82659,84,1.238878525
33114,2012/1/16,2014/3/31,28,39630,41970,73852,68,1.386176542
1816,2012/10/12,2014/3/31,17,19284,47976,104641,15,0.978310605
45720,2006/5/18,2014/3/31,51,28324,44076,72274,1,1.416135816
21127,2008/2/24,2014/3/31,85,48193,46259,104969,16,0.974864579
27683,2006/1/25,2014/3/31,128,33043,62528,147767,2,0.69244581
5902,2012/9/8,2014/3/31,23,12331,26042,157186,14,0.650619648
3012,2008/2/14,2014/3/31,78,46383,37467,121231,2,0.84343724
30596,2009/1/5,2014/3/31,67,38025,44616,135439,1,0.754458243
29277,2005/8/11,2014/3/31,96,40235,55499,131739,1,0.775295546
13108,2011/4/3,2014/3/31,118,49601,43595,143796,20,0.710068848
61975,2012/7/15,2014/3/31,86,32724,50951,128754,48,0.792415925
14993,2012/2/15,2014/3/31,36,40288,36262,124032,5,0.82250645
57696,2009/7/1,2014/3/31,10,38895,14400,99312,83,1.025894957
54913,2006/9/18,2014/3/31,34,29850,57790,70486,1,1.443316261
8870,2006/7/21,2014/3/31,23,27033,50407,74910,2,1.357742091
37041,2007/2/1,2014/3/31,76,36172,50322,138952,5,0.731532688
57507,2009/12/26,2014/3/31,45,6302,59340,145724,19,0.696498655
56362,2005/8/15,2014/3/31,111,44278,53994,145458,18,0.697522309
48257,2006/4/14,2014/3/31,47,45533,44024,82382,25,1.230913428
48173,2006/1/30,2014/3/31,84,45822,45034,75766,1,1.337146213
29181,2005/3/27,2014/3/31,134,47816,49952,116627,1,0.867424696
26942,2006/3/27,2014/3/31,46,32482,32065,130782,3,0.771173327
10967,2004/11/1,2014/3/31,96,43721,50612,135009,6,0.746628299
40676,2011/1/3,2014/3/31,16,57864,11330,107690,94,0.936013465
29224,2005/6/22,2014/3/31,83,38488,44776,133367,11,0.755460796
38275,2005/9/3,2014/3/31,93,62419,34893,109943,3,0.91579564
59483,2011/7/1,2014/3/31,13,11050,22500,159016,6,0.632307692
1843,2012/10/13,2014/3/31,36,43700,65431,113253,2,0.886428351
18817,2006/4/28,2014/3/31,73,48667,34173,123568,11,0.810458452
